Epoch  0, loss: 0.683, acc: 0.747
Eval epoch  0, loss: 0.683, acc: 0.611
Epoch  1, loss: 0.702, acc: 0.307
Eval epoch  1, loss: 0.693, acc: 0.611
Epoch  2, loss: 0.696, acc: 0.753
Eval epoch  2, loss: 0.693, acc: 0.611
Epoch  3, loss: 0.696, acc: 0.753
Eval epoch  3, loss: 0.693, acc: 0.611
Epoch  4, loss: 0.696, acc: 0.780
Eval epoch  4, loss: 0.693, acc: 0.611
Epoch  5, loss: 0.696, acc: 0.247
Eval epoch  5, loss: 0.693, acc: 0.611
Epoch  6, loss: 0.696, acc: 0.247
Eval epoch  6, loss: 0.693, acc: 0.611
Epoch  7, loss: 0.696, acc: 0.240
Eval epoch  7, loss: 0.693, acc: 0.611
Epoch  8, loss: 0.696, acc: 0.760
Eval epoch  8, loss: 0.693, acc: 0.611
Epoch  9, loss: 0.696, acc: 0.240
Eval epoch  9, loss: 0.693, acc: 0.611
Epoch 10, loss: 0.696, acc: 0.760
Eval epoch 10, loss: 0.693, acc: 0.611
Epoch 11, loss: 0.695, acc: 0.753
Eval epoch 11, loss: 0.693, acc: 0.611
Epoch 12, loss: 0.695, acc: 0.240
Eval epoch 12, loss: 0.693, acc: 0.611
Epoch 13, loss: 0.695, acc: 0.760
Eval epoch 13, loss: 0.693, acc: 0.611
Epoch 14, loss: 0.695, acc: 0.760
Eval epoch 14, loss: 0.693, acc: 0.611
Epoch 15, loss: 0.695, acc: 0.240
Eval epoch 15, loss: 0.693, acc: 0.611
Epoch 16, loss: 0.694, acc: 0.760
Eval epoch 16, loss: 0.693, acc: 0.611
Epoch 17, loss: 0.694, acc: 0.240
Eval epoch 17, loss: 0.693, acc: 0.611
Epoch 18, loss: 0.694, acc: 0.760
Eval epoch 18, loss: 0.693, acc: 0.611
Epoch 19, loss: 0.694, acc: 0.760
Eval epoch 19, loss: 0.693, acc: 0.611
Epoch 20, loss: 0.694, acc: 0.240
Eval epoch 20, loss: 0.693, acc: 0.611
Epoch 21, loss: 0.694, acc: 0.240
Eval epoch 21, loss: 0.693, acc: 0.611
Epoch 22, loss: 0.694, acc: 0.240
Eval epoch 22, loss: 0.693, acc: 0.611
Epoch 23, loss: 0.693, acc: 0.760
Eval epoch 23, loss: 0.693, acc: 0.611
Epoch 24, loss: 0.693, acc: 0.240
Eval epoch 24, loss: 0.693, acc: 0.611
Epoch 25, loss: 0.693, acc: 0.240
Eval epoch 25, loss: 0.693, acc: 0.611
Epoch 26, loss: 0.693, acc: 0.760
Eval epoch 26, loss: 0.693, acc: 0.611
Epoch 27, loss: 0.693, acc: 0.760
Eval epoch 27, loss: 0.693, acc: 0.611
Epoch 28, loss: 0.693, acc: 0.240
Eval epoch 28, loss: 0.693, acc: 0.611
Epoch 29, loss: 0.693, acc: 0.760
Eval epoch 29, loss: 0.693, acc: 0.611
Epoch 30, loss: 0.693, acc: 0.760
Eval epoch 30, loss: 0.693, acc: 0.611
Epoch 31, loss: 0.693, acc: 0.760
Eval epoch 31, loss: 0.693, acc: 0.611
Epoch 32, loss: 0.693, acc: 0.240
Eval epoch 32, loss: 0.693, acc: 0.611
Epoch 33, loss: 0.693, acc: 0.240
Eval epoch 33, loss: 0.693, acc: 0.611
Epoch 34, loss: 0.693, acc: 0.240
Eval epoch 34, loss: 0.693, acc: 0.611
Epoch 35, loss: 0.693, acc: 0.240
Eval epoch 35, loss: 0.693, acc: 0.611
Epoch 36, loss: 0.693, acc: 0.240
Eval epoch 36, loss: 0.693, acc: 0.611
Epoch 37, loss: 0.693, acc: 0.240
Eval epoch 37, loss: 0.693, acc: 0.611
Epoch 38, loss: 0.693, acc: 0.413
Eval epoch 38, loss: 0.693, acc: 0.389
Epoch 39, loss: 0.693, acc: 0.240
Eval epoch 39, loss: 0.693, acc: 0.389
Epoch 40, loss: 0.693, acc: 0.240
Eval epoch 40, loss: 0.693, acc: 0.389
Epoch 41, loss: 0.693, acc: 0.760
Eval epoch 41, loss: 0.693, acc: 0.389
Epoch 42, loss: 0.693, acc: 0.240
Eval epoch 42, loss: 0.693, acc: 0.389
Epoch 43, loss: 0.693, acc: 0.280
Eval epoch 43, loss: 0.693, acc: 0.611
Epoch 44, loss: 0.693, acc: 0.240
Eval epoch 44, loss: 0.693, acc: 0.611
Epoch 45, loss: 0.693, acc: 0.267
Eval epoch 45, loss: 0.693, acc: 0.389
Epoch 46, loss: 0.693, acc: 0.240
Eval epoch 46, loss: 0.693, acc: 0.389
Epoch 47, loss: 0.693, acc: 0.760
Eval epoch 47, loss: 0.693, acc: 0.389
Epoch 48, loss: 0.693, acc: 0.240
Eval epoch 48, loss: 0.693, acc: 0.389
Epoch 49, loss: 0.693, acc: 0.467
Eval epoch 49, loss: 0.693, acc: 0.611
Epoch 50, loss: 0.693, acc: 0.760
Eval epoch 50, loss: 0.693, acc: 0.611
Epoch 51, loss: 0.693, acc: 0.240
Eval epoch 51, loss: 0.693, acc: 0.611
Epoch 52, loss: 0.693, acc: 0.760
Eval epoch 52, loss: 0.693, acc: 0.611
Epoch 53, loss: 0.693, acc: 0.240
Eval epoch 53, loss: 0.693, acc: 0.611
Epoch 54, loss: 0.693, acc: 0.760
